Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Menulis (diari, blog, atau lainnya), Melukis atau menggambar","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar",Self Wear
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,"Alat Olahraga, Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Kantor/Sekolah,Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan"
"Jurnal/Perencana (Planner), Buku Anak",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain game (offline/online), Membaca buku atau majalah",edukasi
Buku Non-Fiksi,Toko Gramedia,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah , Bermain game (offline/online)",edukasi
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,"Alat Musik & kesenian, Mainan"
Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)",edukasi
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Mainan/Collectible item",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Olahraga",Self Wear
Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah",edukasi
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Novel Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)",Self Wear
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain game (offline/online), Olahraga","Alat Tulis kantor atau sekolah, Mainan"
"Mainan/Collectible item, Komik/Novel Grafis",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Belanja online/offline, Travelling, Bermain game (offline/online)",Self Wear
"Perlengkapan Seni/Kreatif, Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
Alat Kantor/Sekolah,Website Gramedia.com,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,"Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan, Kesehatan dan Kecantikan"
"Alat Olahraga, Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi, Bermain game (offline/online)",Daily needs
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah,Literasi,"Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah",edukasi
"Buku Anak, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Belanja online/offline",Alat Seni
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan","Olahraga, Menghadiri acara budaya atau edukasi",edukasi
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Melukis atau menggambar","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan, Alat Tulis kantor atau sekolah"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Menambah pengetahuan,Literasi,"Alat Olahraga, Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,"Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Seni,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,"Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Seni,"Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Mainan/Collectible item, Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Mainan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi, Perlengkapan Seni/Kreatif",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Bermain musik","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear
Edukasi,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Alat Musik, Alat Olahraga",Toko buku independen lainnya,Kado atau hadiah,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Travelling, Bermain musik","Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Lifestyle,edukasi
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Bermain musik, Travelling, Melukis atau menggambar",Self Wear
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Membaca buku atau majalah , Melukis atau menggambar","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Buku Anak",Website Gramedia.com,Hiburan atau relaksasi,Literasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Komik/Novel Grafis, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline, Travelling","Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah",Literasi,"Alat Tulis kantor atau sekolah, Mainan, Alat Musik & kesenian"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Mainan"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak), Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Edukasi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menghadiri acara budaya atau edukasi, Belanja online/offline","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,"Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Olahraga, Belanja online/offline, Travelling","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah , Melukis atau menggambar",Daily needs
"Komik/Novel Grafis, Alat Olahraga, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan","Bermain musik, Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Belanja online/offline, Bermain musik","Kesehatan dan Kecantikan, Alat Olahraga"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Menambah pengetahuan,"Bermain musik, Olahraga, Bermain game (offline/online)","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Travelling",edukasi
Novel Fiksi,Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Olahraga, Belanja online/offline, Menghadiri acara budaya atau edukasi","Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga, Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,"Alat Olahraga, Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Belanja online/offline","Alat Musik & kesenian, Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan",Seni,"Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Alat Olahraga",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Buku fiksi (novel, komik, buku anak), Mainan"
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah","Belanja online/offline, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi",Self Wear
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Hiburan atau relaksasi,"Belanja online/offline, Bermain game (offline/online)",Alat Seni
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Buku fiksi (novel, komik, buku anak), Mainan"
"Mainan/Collectible item, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Travelling, Melukis atau menggambar","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
"Novel Fiksi, Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Olahraga, Melukis atau menggambar","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Sport & mainanan,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,edukasi
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Literasi,edukasi
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear
Buku Anak,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Olahraga, Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
