Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Lifestyle,edukasi,Tidak Setuju,Netral,Setuju,Setuju
Buku Non-Fiksi; Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Seni; Komik,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Setuju
Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Seni,edukasi,Tidak Setuju,Netral,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Self Wear,Netral,Setuju,Sangat Setuju,Sangat Setuju
Alat Seni; Komik,Toko buku independen lainnya,"Hiburan atau relaksasi; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear; edukasi,Tidak Setuju,Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi; Seni,edukasi,Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju
Alat Seni; Edukasi; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Tidak Setuju,Setuju,Netral,Netral
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni; Daily needs; Self Wear,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
Buku Anak; Edukasi; Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
Alat Seni,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Literasi,Alat Seni; Daily needs; edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Seni; Buku Non-Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni; edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Lifestyle,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
Sport & mainanan,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Non-Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Setuju
Komik,Website Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Komik,Toko Gramedia,Hiburan atau relaksasi,Lifestyle,Self Wear,Tidak Setuju,Setuju,Setuju,Sangat Setuju
Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Daily needs; Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Toko alat tulis lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Sport & mainanan,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju
Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Buku Non-Fiksi; Edukasi; Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Literasi; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Edukasi,Toko alat tulis lainnya,Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Literasi,Daily needs; Self Wear,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
Alat Seni,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni; edukasi,Netral,Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Buku Anak; Buku Non-Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,Daily needs; edukasi,Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Toko alat tulis lainnya,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Toko alat tulis lainnya,Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Daily needs; edukasi,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear; edukasi,Netral,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,edukasi,Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Tidak Setuju,Setuju,Netral,Setuju
Buku Anak; Edukasi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Netral,Netral,Tidak Setuju,Netral
Alat Seni; Novel Fiksi; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs; edukasi,Netral,Setuju,Setuju,Tidak Setuju
Alat Seni; Komik,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,edukasi,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Seni,Alat Seni; edukasi,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
Alat Seni; Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Seni,Alat Seni; Self Wear; edukasi,Netral,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Non-Fiksi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi; Seni,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Netral,Setuju
Buku Anak; Edukasi; Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Setuju,Netral,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Edukasi,Toko buku independen lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju
Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Netral,Setuju,Tidak Setuju,Sangat Tidak Setuju
Edukasi; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Komik,Toko buku independen lainnya,Hiburan atau relaksasi,Lifestyle; Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni; Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Buku Non-Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi; Seni,Self Wear,Tidak Setuju,Sangat Setuju,Setuju,Netral
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Lifestyle,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Komik,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Self Wear,Netral,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Alat Seni; Daily needs; edukasi,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Self Wear; edukasi,Netral,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Sport & mainanan,Website Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Alat Seni; Self Wear,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Aktivitas Rekreasional,Self Wear; edukasi,Sangat Setuju,Setuju,Setuju,Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Aktivitas Rekreasional,Daily needs; Self Wear,Tidak Setuju,Netral,Sangat Tidak Setuju,Netral
Sport & mainanan,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Netral,Tidak Setuju,Netral,Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Komik,Toko alat tulis lainnya,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju
Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi; Seni,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
Alat Seni,Website Gramedia.com,Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Novel Fiksi,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Self Wear,Netral,Sangat Setuju,Netral,Netral
Edukasi; Novel Fiksi; Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Netral,Tidak Setuju,Setuju,Tidak Setuju
Novel Fiksi,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Netral
Edukasi; Komik,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Daily needs; Self Wear,Setuju,Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Komik,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,edukasi,Netral,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Buku Non-Fiksi; Komik,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Seni,Website Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral
Alat Seni; Edukasi; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Setuju,Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Komik,Toko Gramedia,Kado atau hadiah,Lifestyle; Literasi,Alat Seni; Self Wear; edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,Toko Gramedia,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Lifestyle; Literasi; Seni,Self Wear,Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Novel Fiksi,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Netral,Sangat Tidak Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Website Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs; edukasi,Setuju,Netral,Sangat Setuju,Sangat Setuju
Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi; Kado atau hadiah,Lifestyle; Literasi; Seni,Daily needs,Sangat Setuju,Netral,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Netral,Sangat Setuju,Netral,Setuju
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,edukasi,Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi; Seni,Alat Seni; Self Wear,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
Komik; Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Literasi; Seni,Alat Seni,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Seni,edukasi,Sangat Tidak Setuju,Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Setuju,Setuju,Netral,Sangat Tidak Setuju
Alat Seni; Komik; Sport & mainanan,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,Self Wear,Netral,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Buku Non-Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
Alat Seni; Buku Non-Fiksi; Sport & mainanan,Website Gramedia.com,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Alat Seni; Self Wear; edukasi,Netral,Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle; Seni,edukasi,Sangat Setuju,Netral,Tidak Setuju,Setuju
Alat Seni,Toko alat tulis lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Tidak Setuju,Setuju,Netral,Tidak Setuju
Buku Anak; Buku Non-Fiksi; Novel Fiksi,Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Komik,Website Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,Daily needs; Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Netral
Sport & mainanan,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Seni,Daily needs,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Edukasi; Komik; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Edukasi,Toko buku independen lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Literasi; Seni,Self Wear,Netral,Tidak Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Seni,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Lifestyle,Daily needs; Self Wear; edukasi,Sangat Setuju,Tidak Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Lifestyle; Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Seni; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Netral,Netral,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Alat Seni; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
