Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
Buku Anak,Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya",Menambah pengetahuan
"Perlengkapan Seni/Kreatif, Buku Anak","Toko buku independen lainnya, Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Novel Fiksi","Aplikasi Gramedia Digital (ebook), Website Gramedia.com",Untuk mengekspresikan kreativitas
"Mainan/Collectible item, Perlengkapan Seni/Kreatif","Toko buku independen lainnya, Aplikasi Gramedia.com, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Kado atau hadiah
"Mainan/Collectible item, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis","Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Website Gramedia.com, Aplikasi Gramedia Digital (ebook)",Menambah pengetahuan
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Musik","Toko Gramedia, Website Gramedia.com",Sebagai bentuk 'self-reward' atau apresiasi diri
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Website Gramedia.com, Toko Gramedia",Sebagai bentuk 'self-reward' atau apresiasi diri
"Komik/Novel Grafis, Alat Olahraga, Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia.com, Website Gramedia.com","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas"
Perlengkapan Kantor atau Sekolah,"Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,"Toko Gramedia, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia.com, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga, Perlengkapan Seni/Kreatif","Toko alat tulis lainnya, Aplikasi Gramedia.com, Toko buku independen lainnya","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia Digital (ebook), Website Gramedia.com","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
Jurnal/Perencana (Planner),"Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko buku independen lainnya","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Buku Anak","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Novel Fiksi, Alat Musik, Buku Anak","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com",Hiburan atau relaksasi
Alat Olahraga,"Website Gramedia.com, Toko alat tulis lainnya",Menambah pengetahuan
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi"
Novel Fiksi,"Aplikasi Gramedia.com, Website Gramedia.com, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,Hiburan atau relaksasi
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Hiburan atau relaksasi"
"Alat Olahraga, Mainan/Collectible item, Alat Musik","Toko buku independen lainnya, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Untuk mengekspresikan kreativitas
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko Gramedia, Website Gramedia.com","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Alat Musik, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Komik/Novel Grafis, Novel Fiksi, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Toko buku independen lainnya","Hiburan atau relaksasi, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Hiburan atau relaksasi"
"Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Mainan/Collectible item,"Toko Gramedia, Toko buku independen lainnya, Aplikasi Gramedia.com","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Website Gramedia.com,Kado atau hadiah
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com","Hiburan atau relaksasi, Menambah pengetahuan"
"Alat Olahraga, Novel Fiksi, Komik/Novel Grafis","Toko alat tulis lainnya, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
"Novel Fiksi, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com, Website Gramedia.com","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
Jurnal/Perencana (Planner),"Toko buku independen lainnya, Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)",Kado atau hadiah
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Website Gramedia.com","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),"Aplikasi Gramedia Digital (ebook), Website Gramedia.com","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Website Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Mainan/Collectible item,"Toko Gramedia, Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Jurnal/Perencana (Planner)","Toko alat tulis lainnya, Toko Gramedia, Toko buku independen lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Toko buku independen lainnya, Website Gramedia.com",Hiburan atau relaksasi
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Alat Musik, Jurnal/Perencana (Planner)","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Olahraga, Alat Musik","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Kado atau hadiah, Menambah pengetahuan, Hiburan atau relaksasi"
"Komik/Novel Grafis, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Novel Fiksi, Jurnal/Perencana (Planner)","Toko alat tulis lainnya, Website Gramedia.com","Menambah pengetahuan, Kado atau hadiah"
"Alat Musik, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko Gramedia,"Hiburan atau relaksasi, Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif","Toko buku independen lainnya, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kado atau hadiah"
Jurnal/Perencana (Planner),"Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Hiburan atau relaksasi
"Komik/Novel Grafis, Novel Fiksi, Buku Anak","Toko buku independen lainnya, Website Gramedia.com",Sebagai bentuk 'self-reward' atau apresiasi diri
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Toko Gramedia, Website Gramedia.com","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com",Hiburan atau relaksasi
"Novel Fiksi, Komik/Novel Grafis","Aplikasi Gramedia.com, Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
Alat Olahraga,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Olahraga,"Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Menambah pengetahuan"
"Komik/Novel Grafis, Alat Musik, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com",Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Seni/Kreatif, Buku Anak, Alat Musik","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Jurnal/Perencana (Planner), Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Website Gramedia.com","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Buku Anak, Alat Olahraga","Toko Gramedia, Toko buku independen lainnya, Website Gramedia.com","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)","Toko alat tulis lainnya, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Musik, Novel Fiksi","Toko alat tulis lainnya, Aplikasi Gramedia.com","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Toko Gramedia","Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Alat Olahraga, Alat Musik, Buku Anak","Toko Gramedia, Toko alat tulis lainnya, Website Gramedia.com","Hiburan atau relaksasi, Menambah pengetahuan"
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Alat Musik",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)","Website Gramedia.com, Aplikasi Gramedia.com","Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
"Alat Olahraga, Mainan/Collectible item",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
