Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar , Travelling"
Novel Fiksi,Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Travelling, Belanja online/offline"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Olahraga, Belanja online/offline, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga, Perlengkapan Seni/Kreatif",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Belanja online/offline"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan",Melukis atau menggambar 
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Alat Olahraga",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar 
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah","Belanja online/offline, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Hiburan atau relaksasi,"Belanja online/offline, Bermain game (offline/online)"
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik
"Mainan/Collectible item, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Travelling, Melukis atau menggambar "
"Novel Fiksi, Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Olahraga, Melukis atau menggambar "
Alat Olahraga,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Travelling
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya)"
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain musik, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
Buku Anak,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Olahraga, Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya)"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Membaca buku atau majalah , Belanja online/offline, Menghadiri acara budaya atau edukasi"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Travelling"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah , Bermain game (offline/online)"
"Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar 
"Alat Musik, Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Bermain musik, Melukis atau menggambar "
"Komik/Novel Grafis, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi",Bermain game (offline/online)
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko Gramedia,Kado atau hadiah,"Belanja online/offline, Travelling, Olahraga"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Melukis atau menggambar 
"Komik/Novel Grafis, Alat Olahraga",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Travelling, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah",Belanja online/offline
Mainan/Collectible item,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Hiburan atau relaksasi","Membaca buku atau majalah , Bermain musik"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Bermain game (offline/online)"
Komik/Novel Grafis,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Olahraga"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Hiburan atau relaksasi,"Bermain musik, Melukis atau menggambar , Menghadiri acara budaya atau edukasi"
"Alat Olahraga, Novel Fiksi, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Bermain musik, Menulis (diari, blog, atau lainnya)"
"Novel Fiksi, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Travelling"
Jurnal/Perencana (Planner),Toko buku independen lainnya,Menambah pengetahuan,"Travelling, Olahraga"
Novel Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Belanja online/offline
Jurnal/Perencana (Planner),Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Membaca buku atau majalah 
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Menghadiri acara budaya atau edukasi
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Komik/Novel Grafis, Alat Musik, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar 
"Novel Fiksi, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Membaca buku atau majalah , Bermain game (offline/online), Bermain musik"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Travelling, Bermain game (offline/online)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Menambah pengetahuan","Olahraga, Travelling, Membaca buku atau majalah "
"Mainan/Collectible item, Alat Musik, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Melukis atau menggambar "
"Alat Olahraga, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,"Menghadiri acara budaya atau edukasi, Belanja online/offline, Olahraga"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Website Gramedia.com,Menambah pengetahuan,Travelling
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Olahraga, Menghadiri acara budaya atau edukasi"
"Komik/Novel Grafis, Alat Olahraga",Website Gramedia.com,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Bermain musik, Melukis atau menggambar "
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Kado atau hadiah",Membaca buku atau majalah 
"Novel Fiksi, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Menghadiri acara budaya atau edukasi, Travelling"
"Alat Musik, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain game (offline/online), Olahraga, Menghadiri acara budaya atau edukasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar , Membaca buku atau majalah , Belanja online/offline"
Jurnal/Perencana (Planner),Toko alat tulis lainnya,Kado atau hadiah,"Bermain game (offline/online), Bermain musik, Menghadiri acara budaya atau edukasi"
"Komik/Novel Grafis, Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Olahraga, Melukis atau menggambar "
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Olahraga, Membaca buku atau majalah "
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Membaca buku atau majalah "
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Bermain musik"
"Novel Fiksi, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Bermain musik, Melukis atau menggambar "
Alat Olahraga,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online), Melukis atau menggambar "
Alat Olahraga,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Bermain musik, Membaca buku atau majalah "
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Travelling, Bermain musik"
"Komik/Novel Grafis, Alat Musik, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Menulis (diari, blog, atau lainnya)"
"Perlengkapan Seni/Kreatif, Buku Anak, Alat Musik",Website Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi
"Jurnal/Perencana (Planner), Mainan/Collectible item",Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Travelling"
"Buku Anak, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas",Belanja online/offline
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Olahraga
"Alat Musik, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Travelling, Menghadiri acara budaya atau edukasi, Bermain game (offline/online)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Travelling, Menghadiri acara budaya atau edukasi, Belanja online/offline"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Menghadiri acara budaya atau edukasi"
"Alat Olahraga, Alat Musik, Buku Anak",Toko buku independen lainnya,"Kado atau hadiah, Hiburan atau relaksasi","Belanja online/offline, Menghadiri acara budaya atau edukasi"
Komik/Novel Grafis,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar 
"Komik/Novel Grafis, Alat Musik",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah","Melukis atau menggambar , Belanja online/offline, Olahraga"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Kado atau hadiah, Hiburan atau relaksasi","Melukis atau menggambar , Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif, Buku Anak",Website Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Belanja online/offline, Travelling"
"Alat Olahraga, Mainan/Collectible item",Toko Gramedia,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar 
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Olahraga, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Travelling"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Membaca buku atau majalah "
